IDENT;SEXO;ESTUDIOS_PADRE;ESTUDIOS_MADRE;EST_B2_2;EST_M1;EST_B11_2;EST_B11_3
675;2;8;8; ;2;2;2
676;2;3;6; ;2;2;2
677;2;3;4; ;2;2;2
678;2;8;7;2;2;2;2
679;2;7;5; ;2;1;2
680;2;5;5; ;2;2;2
681;2;8;7; ;2;2;2
682;2;8;8; ;2;1;2
683;2;9;8; ;2;2;2
684;2;3;2;2;2;2;2
685;2;6;4; ;2;2;2
686;2;7;6; ;2;2;2
687;2;5;5;2;2;1;2
688;2;5;4; ;2;2;2
689;2;9;3;2;2;2;2
690;2;4;3; ;2;2;2
691;2;5;5;2;2;2;2
692;2;5;4; ;2;2;2
693;2;3;4;2;2;2;2
694;2;4;5;2;2;2;2
695;2;2;5;2;2;2;2
696;2;3;3;2;2;1;2
697;2;4;4;2;2;2;2
698;2;2;2; ;2;2;2
699;2;8;6; ;2;2;2
700;2;3;4; ;2;2;2
701;2;3;6;2;1;2;2
702;2;3;3;2;2;2;2
703;2;2;8;2;2;2;2
704;2;7;2;2;2;2;2
705;2;7;8; ;2;2;2
706;2;3;3;2;2;2;2
707;2;4;4;2;2;2;2
708;2;2;3;2;2;2;2
709;2;4;4;2;2;2;2
710;2;3;5;2;2;1;2
711;2;4;5;2;2;2;2
712;2;3;3;2;2;2;2
713;2;3;5;2;2;2;2
714;2;4;4;2;2;2;2
715;2;2;2;2;2;2;2
716;2;8;8; ;2;2;2
717;2;5;5; ;2;2;2
718;2;7;3;2;2;2;2
719;2;8;8; ;2;2;2
720;2;6;8; ;2;2;2
721;2;7;6;2;2;2;2
722;1;3;3;2;2;2;2
723;1;2;2; ;2;1;2
724;2;3;3;2;2;2;2
725;2;3;4;2;2;2;2
726;2;4;5; ;2;1;2
727;2;5;3; ;2;2;2
728;2;8;4; ;2;2;2
729;2;3;4; ;2;2;2
730;2;3;3; ;2;2;2
731;2;7;5; ;2;2;2
732;2;3;3; ;2;2;2
733;2;3;3; ;2;2;2
734;2;9;3; ;2;2;2
735;2;2;3; ;2;2;2
736;2;8;8; ;2;2;2
737;2;2;2; ;2;2;2
738;2;3;3;2;2;2;2
739;2;7;6; ;2;2;2
740;2;8;3;2;2;2;2
741;2;2;2;2;2;2;2
742;2;5;5; ;2;2;2
743;2;3;3;2;2;1;2
744;2;2;2; ;2;1;2
745;2;8;8; ;2;2;2
746;2;3;3; ;2;2;2
747;2;3;8; ;2;2;2
748;2;5;3; ;2;2;2
749;2;9;3;2;2;1;2
750;2;8;8; ;2;2;2
751;2;4;3;2;2;2;2
752;2;3;3;2;2;2;2
753;2;8;8; ;2;2;2
754;2;3;3;2;2;2;2
755;2;4;4; ;2;2;2
756;2;5;5; ;2;2;2
757;2;4;4; ;2;2;2
758;2;4;6;2;2;2;2
759;2;3;3;2;2;2;2
760;2;6;4;2;2;2;2
761;2;3;3;2;2;2;2
762;2;7;4;2;2;2;2
763;2;8;8;2;1;1;2
764;2;5;4;1;2;1;2
765;2;7;8;2;1;2;2
766;2;4;4;2;1;2;2
767;2;8;8;2;2;2;2
768;2;4;4;2;2;1;2
769;2;8;8;2;2;2;2
770;2;3;3;2;2;1;2
771;2;4;5; ;2;1;2
772;2;8;8; ;2;2;2
773;2;3;3;2;2;1;2
774;2;3;6;2;2;2;2
775;2;5;7;2;2;1;2
776;2;7;4; ;2;2;2
777;2;9;4; ;2;2;2
778;2;7;4; ;2;2;2
779;2;3;4; ;2;2;2
780;2;4;8;2;2;1;2
781;2;4;4;2;2;2;2
782;2;6;4;2;2;2;2
783;2;8;8; ;2;2;2
784;2;8;8;2;2;2;2
785;2;8;8; ;1;2;2
786;2;8;6; ;2;1;2
787;2;4;5;1;2;1;2
788;1;3;3;2;2;2;2
789;2;3;4;2;2;2;2
790;2;3;3; ;2;1;2
791;2;4;4; ;2;2;2
792;2;7;7; ;2;1;2
793;2;5;8;2;2;2;2
794;2;9;3; ;2;2;2
795;2;8;3; ;2;2;2
796;2;8;8; ;2;2;2
797;2;9;9;2;2;2;2
798;2;4;4; ;2;1;2
799;2;8;7; ;2;2;2
800;2;3;9; ;2;2;2
801;2;3;4; ;2;1;2
802;2;7;5; ;2;2;2
803;2;8;6;2;1;2;2
804;2;3;2;2;2;2;2
805;2;6;5; ;2;2;2
806;2;9;4;2;2;1;2
807;1;8;8; ;2;1;2
808;2;8;8; ;2;2;2
809;2;3;3;2;2;2;2
810;2;2;2; ;2;2;2
811;2;3;3; ;2;2;2
812;2;4;5;2;2;2;2
813;2;9;6; ;2;2;2
814;2;2;4; ;2;1;2
815;2;8;5; ;2;1;2
816;2;8;9; ;2;2;2
817;2;9;9;2;1;2;2
818;2;3;3;2;2;2;2
819;2;3;4;2;2;2;2
820;2;5;5; ;2;2;2
821;2;2;3; ;2;1;2
822;1;8;8; ;1;2;2
823;2;9;3;2;2;2;2
824;2;2;3;2;2;2;2
825;2;9;4;2;2;1;2
826;2;4;4;2;2;1;2
827;2;6;5;2;2;1;2
828;2;2;4;2;2;1;2
829;2;3;3;2;2;2;2
830;2;2;4;2;2;2;2
831;2;4;3; ;2;2;2
832;2;4;8; ;2;2;2
833;2;3;3;2;2;2;2
834;2;3;3;2;2;2;2
835;2;4;4;2;2;2;2
836;2;2;4;2;2;2;2
837;2;4;4;2;2;2;2
838;2;3;2;2;2;2;2
839;2;9;7;2;2;2;2
840;2;9;9;2;2;1;2
841;2;8;5; ;2;2;2
842;2;7;6; ;2;1;2
843;2;8;8; ;1;2;2
844;2;6;4;2;2;1;2
845;2;9;4;2;2;1;2
846;2;5;5; ;2;2;2
847;2;4;5; ;2;2;2
848;2;7;4;2;2;2;2
849;2;8;8; ;2;2;2
850;2;5;5; ;2;2;2
851;2;8;5;2;2;2;2
852;2;4;3;2;2;2;2
853;2;4;4;2;2;2;2
